username,payout,points,total_payout,total_points,total_wus
k0fnrc6c4a18,72.76,826394,8389.08,62341128,701
ztdfc192304s,66.32,665241,12265.47,61889412,738
4nqu4frasrau,13.27,124337,70521.01,62471081,680
vg1k0vusfr5q,75.67,907092,11084.51,61690871,431
d4efbj936uzd,25.5,82300,113602.08,62244543,548
u1zjinu4arcl,66.75,674745,11050.58,61613562,636
tutor6tp68os,9.59,10220,54990.98,62220209,432
d75vnxpoqrkj,12.3,76649,12570.02,61388775,988
arjs6o1oqx26,20.69,585295,10639.79,61434195,594
57h0ms1269x3,66.14,661213,12309.99,61061212,696
9639ewtd0ti7,14.03,118665,21229.48,61516261,598
g5bvz3t0031x,61.13,554022,11387.95,60575881,520
zbrnvdvtw3u0,34.55,543849,11540.95,60694036,581
1ya9ru3b2fbu,36.15,171771,11014.85,60525868,990
09zjqp60i9a6,62.13,573979,11459.17,61047435,792
bv78u24klou3,63.05,592829,10763.22,61123565,509
ab2f4r7yf3xb,88.17,1309384,9810.73,60149515,386
2820ilnq9hgs,27.46,479044,7657.1,60441758,492
7ix5bygr0ge8,92.88,1483587,4012.97,59963615,350
bapj4ru82lnc,100.64,1792074,6796.67,59625764,703
31nzz7by1xjv,85.73,1223975,8022.28,60496640,499
xabs11ocrcpi,65.31,643019,10990.0,60307269,596
7n8qoykx1no9,103.1,1894241,4303.89,60274169,427
vdlmg3gvztdt,60.63,543936,12058.31,60304589,712
kmw8chj5z8zq,83.93,1163211,8825.14,59366095,488
dr5v97fikxtm,4.7,5574,24640.38,59752842,1734
xsn8spzxyker,31.02,483133,8468.69,58418590,303
5cfni8yv8o8k,60.39,539190,12286.82,59392758,532
92a7ovmtegfk,73.28,840297,10891.28,58491437,695
q6rrp52djq96,62.16,574515,11516.75,58470505,410
oxy29kxkt17n,77.21,951267,11500.86,58977755,851
c9ox5e58ux96,61.05,552361,11154.97,59543308,998
z9loq6w0admn,40.7,213279,17662.11,58352282,389
4rojvjfgl7s7,67.19,685651,10690.62,58832254,709
3v1ubj12jqf8,24.75,419700,13485.58,58201898,785
iji6k1g1n5cl,55.95,456500,12496.99,57994231,554
3iroi9fb4ret,31.58,893188,7401.25,56944291,465
r6uxu6tjfkuo,37.42,182360,21634.16,57944673,1200
g8qucstukwhk,75.26,895247,9645.35,57687235,467
sbhkcoujifjo,57.02,475570,21865.64,57478708,975
paoc2r6obxjq,70.62,769228,7701.33,57101698,434
glgzl51ojjw1,33.25,354990,13048.24,57308239,563
pwmloylxcjup,118.92,2589036,3144.45,56414453,279
tzyf0mgu0wln,21.75,284656,16089.32,57045095,771
q9ix9izy513u,14.6,19319,142104.96,58120227,1309
bo93siajmopb,57.55,485091,21124.96,56518289,939
4hyo4lgecnqu,43.65,1016759,4847.8,55120144,436
da797u6ye67g,51.48,383261,11104.0,55242761,432
bul7sz1cvqw0,27.42,266283,26471.03,55317779,2506
de18n6xugg4e,59.85,528376,13004.57,55847872,541
gw1tjrim85zn,37.27,218571,14194.42,55838601,451
j99bx38ys8oc,31.1,550872,14819.6,56480392,819
veek7nwb3a3i,95.65,1590066,4368.66,55026935,293
aroeobq2qewx,62.76,586418,11310.41,56013149,417
fasqtn879b05,64.85,632794,11721.36,55208023,750
a6jg7lucalvv,89.77,1367433,4881.32,54983786,433
14on99kad1kl,92.86,1482857,4816.63,54861531,396
ldjmcsznphg5,59.22,515986,10034.8,55134390,561
3sb3wiwjn3hb,83.86,1160862,7026.02,54373691,451
bvw86kc48slf,119.69,637144,11892.23,54873614,919
06wblioecv17,51.81,388410,11949.67,54316780,412
2dxpy77xfh1j,36.84,214165,10541.58,54210186,539
1i0t0huk7isq,79.11,1008839,6578.13,54501433,399
voxl984c9cq7,47.39,285884,10127.96,54225591,260
kthuq909o3qb,20.21,269077,71539.52,55192123,4106
