username,payout,points,total_payout,total_points,total_wus,created_at
ibckmstn8w3f,19.35,153894,3349.41,28015750,343,2021-06-28T10:29:44.284Z
ibjrmsvux7up,23.81,204098,5851.67,43958148,176,2021-05-14T14:53:27.438Z
iahpby86nu74,2.59,8340,13.05,24340,8,2021-07-10T03:33:55.802Z
ibc4d0xsu05x,18.61,146260,2252.46,14600744,129,2021-04-28T05:34:08.102Z
iac2tehlbynk,8.87,59131,643.45,2199200,332,2020-10-04T02:23:02.602Z
i8mrpc4ilcq5,4.01,24786,1647.09,4380399,225,2021-05-01T14:13:14.722Z
i8kg48ervznw,18.18,114731,11707.07,120221362,1977,2021-05-05T18:29:54.171Z
i8k1lsano89j,4.18,3310,512.02,165565,74,2021-05-08T16:57:24.876Z
i9dl8cwqeiz4,6.74,43500,2432.54,3454735,286,2021-02-28T12:24:07.828Z
iat2vlll7otp,28.7,132626,10717.98,31222068,840,2021-02-26T10:55:00.749Z
i9qlwuqycw2w,31.53,192824,3358.71,9639054,449,2021-04-20T03:33:33.723Z
i8fhohu86yb9,2.61,7181,1725.62,5667040,239,2021-05-08T11:16:33.135Z
i8aurkl4db03,22.55,189365,3726.35,30215325,392,2021-06-27T07:26:03.919Z
i80dsq5prshq,19.07,98368,3463.54,9351383,481,2021-04-19T15:15:38.597Z
i65cvs6klcr2,43.52,256514,6293.87,37717945,515,2021-06-11T09:14:18.225Z
i7yt6onlz3o1,7.18,85710,3909.68,11436506,346,2021-03-10T11:53:01.916Z
i5xntxchy7l6,58.27,930597,4810.09,85676513,385,2021-07-15T18:53:31.313Z
i6yl8zyapjpr,8.37,39700,2802.15,8974914,379,2021-05-07T17:53:11.919Z
i7b5x0v1b633,36.84,401814,6274.05,45260282,345,2021-05-27T21:24:33.208Z
i774nz7gwu0m,4.21,26108,2538.34,7537250,393,2021-04-19T19:24:01.305Z
i7fwka5qvrh5,15.89,119198,6704.33,66859719,273,2021-05-18T01:22:20.516Z
